tag,name,keywords,checked,selected,url
39,"P. Liu, G. Chen, Z. Li, H. Tang and A. Knoll, ""Learning Local Event-based Descriptor for Patch-based Stereo Matching,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 412-418.","keywords: {Smoothing methods;Power demand;Neuromorphics;Machine vision;Heuristic algorithms;Robot vision systems;Vision sensors},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811687&isnumber=9811357
40,"C. Nakatsuka and S. Komorita, ""Stable 3D Human Pose Estimation in Low- Resolution Videos with a Few Views,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 427-433.","keywords: {Interpolation;Three-dimensional displays;Automation;Pose estimation;Behavioral sciences;Task analysis;Robots},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812382&isnumber=9811357
41,"S. -W. Yoo and S. -W. Seo, ""Learning Multi-Task Transferable Rewards via Variational Inverse Reinforcement Learning,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 434-440.","keywords: {Learning systems;Transfer learning;Reinforcement learning;Multitasking;Linear programming;Robustness;Behavioral sciences},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811697&isnumber=9811357
42,"Z. Cao, Z. Wang and D. Sadigh, ""Learning from Imperfect Demonstrations via Adversarial Confidence Transfer,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 441-447.","keywords: {Limiting;Automation;Prediction algorithms;Trajectory;Task analysis;Robots;Videos},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811891&isnumber=9811357
43,"H. Hoshino, K. Ota, A. Kanezaki and R. Yokota, ""OPIRL: Sample Efficient Off-Policy Inverse Reinforcement Learning via Distribution Matching,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 448-454.","keywords: {Training;Automation;Reinforcement learning;Control systems;Behavioral sciences;Usability;Task analysis;Imitation Learning;Transfer Learning;Learning from Demonstration;Inverse Reinforcement Learning},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811660&isnumber=9811357
44,"Z. -H. Yin, L. Sun, H. Ma, M. Tomizuka and W. -J. Li, ""Cross Domain Robot Imitation with Invariant Representation,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 455-461.","keywords: {Training;Representation learning;Biomechanics;Automation;Animals;Robustness;Behavioral sciences},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811668&isnumber=9811357
45,"A. Tagliabue, D. -K. Kim, M. Everett and J. P. How, ""Demonstration-Efficient Guided Policy Search via Imitation of Robust Tube MPC,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 462-468.","keywords: {Training;Trajectory tracking;Perturbation methods;Predictive models;Data models;Robustness;Electron tubes},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812122&isnumber=9811357
46,"Z. Wang, Z. Cao, Y. Hao and D. Sadigh, ""Weakly Supervised Correspondence Learning,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 469-476.","keywords: {Costs;Automation;Unsupervised learning;Robots;Videos},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811729&isnumber=9811357
47,"G. Ding, M. Zhang, E. Li and Q. Hao, ""JST: Joint Self-training for Unsupervised Domain Adaptation on 2D&3D Object Detection,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 477-483.","keywords: {Training;Point cloud compression;Three-dimensional displays;Smoothing methods;Detectors;Object detection;Proposals},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811975&isnumber=9811357
48,"H. Thomas, M. G. de Saint Aurin, J. Zhang and T. D. Barfoot, ""Learning Spatiotemporal Occupancy Grid Maps for Lifelong Navigation in Dynamic Scenes,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 484-490.","keywords: {Laser radar;Three-dimensional displays;Navigation;Pipelines;Semantics;Feature extraction;Spatiotemporal phenomena},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812297&isnumber=9811357
49,"U. M. Nunes and Y. Demiris, ""Kinematic Structure Estimation of Arbitrary Articulated Rigid Objects for Event Cameras,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 508-514.","keywords: {Shape;Motion segmentation;Motion estimation;Video sequences;Estimation;Kinematics;Gaussian distribution},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812430&isnumber=9811357
50,"M. H. Hussein, B. Ibrahim, I. H. Elhajj and D. Asmar, ""Incremental Learning for Enhanced Personalization of Autocomplete Teleoperation,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 515-521.","keywords: {Representation learning;Deep learning;Adaptation models;Automation;System performance;Transfer learning;User experience},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812108&isnumber=9811357
51,"A. Grover, P. Nadeau, C. Grebe and J. Kelly, ""Learning to Detect Slip with Barometric Tactile Sensors and a Temporal Convolutional Neural Network,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 570-576.","keywords: {Training;Learning systems;Service robots;Neural networks;Tactile sensors;Detectors;Robustness},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811592&isnumber=9811357
52,"A. Hasan, P. Sriram and K. Driggs-Campbell, ""Meta-path Analysis on Spatio-Temporal Graphs for Pedestrian Trajectory Prediction,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 617-624.","keywords: {Adaptation models;Recurrent neural networks;Time series analysis;Semantics;Predictive models;Probability distribution;Trajectory},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811632&isnumber=9811357
53,"B. Huang, T. Guo, A. Boularias and J. Yu, ""Interleaving Monte Carlo Tree Search and Self-Supervised Learning for Object Retrieval in Clutter,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 625-632.","keywords: {Monte Carlo methods;Philosophical considerations;Neural networks;Self-supervised learning;Search problems;Manipulators;Robot learning},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812132&isnumber=9811357
54,"S. P. Sharan, A. K. Krishna, A. Siddharth Rao and V. P. Gopi, ""RepAr-Net: Re-Parameterized Encoders and Attentive Feature Arsenals for Fast Video Denoising,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 633-639.","keywords: {TV;Runtime;Computational modeling;Surveillance;Noise reduction;Satellite broadcasting;Computer architecture},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812394&isnumber=9811357
55,"F. Mo, X. Ji, H. Qian and Y. Xu, ""A User-customized Automatic Music Composition System,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 640-645.","keywords: {Automation;Neural networks;Music;Entertainment industry;Transformers;Generators;Stability analysis},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812396&isnumber=9811357
56,"Q. Lu et al., ""KEMP: Keyframe-Based Hierarchical End-to-End Deep Model for Long- Term Trajectory Prediction,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 646-652.","keywords: {Deep learning;Automation;Roads;Predictive models;Benchmark testing;Prediction algorithms;Trajectory},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812337&isnumber=9811357
57,"D. A. Su, B. Douillard, R. Al-Rfou, C. Park and B. Sapp, ""Narrowing the coordinate-frame gap in behavior prediction models: Distillation for efficient and accurate scene-centric motion forecasting,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 653-659.","keywords: {Computational modeling;Robot kinematics;Transforms;Predictive models;Benchmark testing;Probabilistic logic;Behavioral sciences},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812368&isnumber=9811357
58,"Q. Liu, H. Yue, Z. Lyu, W. Wang, Z. Liu and W. Chen, ""SEHLNet: Separate Estimation of High- and Low-Frequency components for Depth Completion,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 668-674.","keywords: {Fuses;Neural networks;Low-pass filters;Estimation;Hafnium;Color;Benchmark testing},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811840&isnumber=9811357
59,"H. Ahn et al., ""Visually Grounding Language Instruction for History-Dependent Manipulation,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 675-682.","keywords: {Visualization;Codes;Automation;Grounding;Scalability;Collaboration;Behavioral sciences},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812279&isnumber=9811357
60,"T. Wen, Y. Zhang and N. M. Freris, ""PF-MOT: Probability Fusion Based 3D Multi-Object Tracking for Autonomous Vehicles,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 700-706.","keywords: {Solid modeling;Three-dimensional displays;Fuses;Tracking;Computational modeling;Detectors;Feature extraction},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811653&isnumber=9811357
61,"T. Hasegawa et al., ""Powerful and dexterous multi-finger hand using dynamical pulley mechanism,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 707-713.","keywords: {Torque;Pulleys;Friction;Force;Wires;Grasping;Reinforcement learning},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812112&isnumber=9811357
